Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Market,Name
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",2024-11-26,1811074.0,1888,US,Texas Pacific Land Corporation
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346.0,1923,US,Textron Inc.
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745.0,2006 (1902),US,Thermo Fisher Scientific Inc.
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198.0,1987,US,"The TJX Companies, Inc."
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",2025-03-24,1973266.0,2023,US,"TKO Group Holdings, Inc."
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365.0,1938,US,Tractor Supply Company
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1466258.0,1871,US,Trane Technologies plc
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221.0,1993,US,TransDigm Group Incorporated
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312.0,1853,US,"The Travelers Companies, Inc."
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,864749.0,1978,US,Trimble Inc.
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1997-12-04,92230.0,1872,US,Truist Financial Corporation
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731.0,1966,US,"Tyler Technologies, Inc."
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493.0,1935,US,"Tyson Foods, Inc."
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1999-11-01,36104.0,1968,US,U.S. Bancorp
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2023-12-18,1543151.0,2009,US,"Uber Technologies, Inc."
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208.0,1972,US,"UDR, Inc."
