Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Market,Name
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180.0,"2020 (1915, United Technologies spinoff)",US,Carrier Global Corporation
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230.0,1925,US,Caterpillar Inc.
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310.0,1973,US,"Cboe Global Markets, Inc."
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118.0,1906,US,"CBRE Group, Inc."
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1402057.0,1984,US,CDW Corporation
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859.0,1985,US,"Cencora, Inc."
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739.0,1984,US,Centene Corporation
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310.0,1882,US,"CenterPoint Energy, Inc."
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404.0,1946,US,"CF Industries Holdings, Inc."
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682.0,1947,US,"Charles River Laboratories International, Inc."
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709.0,1971,US,The Charles Schwab Corporation
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667.0,1993,US,"Charter Communications, Inc."
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410.0,1879,US,Chevron Corporation
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090.0,1993,US,"Chipotle Mexican Grill, Inc."
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159.0,1985,US,Chubb Limited
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927.0,1847,US,"Church & Dwight Co., Inc."
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940.0,1982,US,The Cigna Group
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286.0,1950,US,Cincinnati Financial Corporation
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254.0,1929,US,Cintas Corporation
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877.0,1984,US,"Cisco Systems, Inc."
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001.0,1998,US,Citigroup Inc.
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944.0,1828,US,"Citizens Financial Group, Inc."
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076.0,1913,US,The Clorox Company
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375.0,1848,US,CME Group Inc.
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156.0,1886,US,CMS Energy Corporation
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344.0,1886,US,The Coca-Cola Company
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290.0,1994,US,Cognizant Technology Solutions Corporation
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665.0,1806,US,Colgate-Palmolive Company
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691.0,1963,US,Comcast Corporation
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217.0,1919,US,"Conagra Brands, Inc."
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165.0,2002,US,ConocoPhillips
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1047862.0,1823,US,"Consolidated Edison, Inc."
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,16918.0,1945,US,"Constellation Brands, Inc."
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1868275.0,1999,US,Constellation Energy Corporation
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404.0,1958,US,"The Cooper Companies, Inc."
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075.0,1982,US,"Copart, Inc."
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741.0,1851,US,Corning Incorporated
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454.0,2000,US,"Corpay, Inc."
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672.0,2019,US,"Corteva, Inc."
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352.0,1987,US,"CoStar Group, Inc."
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832.0,1976,US,Costco Wholesale Corporation
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470.0,2021 (1989),US,Coterra Energy Inc.
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,1535527.0,2011,US,"CrowdStrike Holdings, Inc."
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470.0,1994,US,Crown Castle Inc.
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948.0,1980,US,CSX Corporation
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172.0,1919,US,Cummins Inc.
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803.0,1996,US,CVS Health Corporation
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,313616.0,1969,US,Danaher Corporation
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,940944.0,1938,US,"Darden Restaurants, Inc."
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,927066.0,1979,US,DaVita Inc.
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1725057.0,1992,US,Dayforce Inc
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,910521.0,1973,US,Deckers Outdoor Corporation
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189.0,1837,US,Deere & Company
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996.0,2016,US,Dell Technologies Inc.
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904.0,1929,US,"Delta Air Lines, Inc."
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012.0,1971,US,Devon Energy Corporation
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557.0,1999,US,"DexCom, Inc."
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838.0,2007,US,"Diamondback Energy, Inc."
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996.0,2004,US,"Digital Realty Trust, Inc."
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612.0,1985,US,Discover Financial Services
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,29534.0,1939,US,Dollar General Corporation
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,935703.0,1986,US,"Dollar Tree, Inc."
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,715957.0,1983,US,"Dominion Energy, Inc."
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681.0,1960,US,"Domino's Pizza, Inc."
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2025-03-24,1792789.0,2012,US,"DoorDash, Inc."
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,29905.0,1955,US,Dover Corporation
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788.0,2019 (1897),US,Dow Inc.
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184.0,1978,US,"D.R. Horton, Inc."
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340.0,1995,US,DTE Energy Company
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160.0,1904,US,Duke Energy Corporation
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-06-03,1666700.0,2017 (1802),US,"DuPont de Nemours, Inc."
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,915389.0,1920,US,Eastman Chemical Company
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1551182.0,1911,US,Eaton Corporation plc
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088.0,1995,US,eBay Inc.
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462.0,1923,US,Ecolab Inc.
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052.0,1886,US,Edison International
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800.0,1958,US,Edwards Lifesciences Corporation
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515.0,1982,US,Electronic Arts Inc.
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039.0,2014 (1946),US,"Elevance Health, Inc."
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604.0,1890,US,Emerson Electric Co.
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,1463101.0,2006,US,"Enphase Energy, Inc."
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984.0,1913,US,Entergy Corporation
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189.0,1999,US,"EOG Resources, Inc."
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010.0,1993,US,"EPAM Systems, Inc."
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213.0,1888,US,EQT Corporation
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185.0,1899,US,Equifax Inc.
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239.0,1998,US,"Equinix, Inc."
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,906107.0,1969,US,Equity Residential
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621.0,1925,US,Erie Indemnity Company
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,920522.0,1971,US,"Essex Property Trust, Inc."
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,1001250.0,1946,US,The Estée Lauder Companies Inc.
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073.0,1973,US,"Everest Group, Ltd."
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269.0,1909,US,"Evergy, Inc."
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",2009-07-24,72741.0,1966,US,Eversource Energy
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357.0,2000,US,Exelon Corporation
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2025-03-24,895126.0,1989,US,Expand Energy Corporation
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1324424.0,1996,US,"Expedia Group, Inc."
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515.0,1979,US,"Expeditors International of Washington, Inc."
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490.0,1977,US,Extra Space Storage Inc.
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088.0,1999,US,Exxon Mobil Corporation
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695.0,1996,US,"F5, Inc."
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237.0,1978,US,FactSet Research Systems Inc.
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547.0,1956,US,Fair Isaac Corporation
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,815556.0,1967,US,Fastenal Company
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903.0,1962,US,Federal Realty Investment Trust
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911.0,1971,US,FedEx Corporation
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893.0,1968,US,"Fidelity National Information Services, Inc."
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527.0,1858,US,Fifth Third Bancorp
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494.0,1999,US,"First Solar, Inc."
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997-11-28,1031296.0,1997,US,FirstEnergy Corp.
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,798354.0,1984,US,"Fiserv, Inc."
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996.0,1903,US,Ford Motor Company
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039.0,2000,US,"Fortinet, Inc."
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,1659166.0,2016,US,Fortive Corporation
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301.0,2019,US,Fox Corporation
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301.0,2019,US,Fox Corporation
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,38777.0,1947,US,"Franklin Resources, Inc."
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011-07-01,831259.0,1912,US,Freeport-McMoRan Inc.
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788.0,1989,US,Garmin Ltd.
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251.0,1979,US,"Gartner, Inc."
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957-03-04,40545.0,1892,US,GE Aerospace
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393.0,1994,US,GE HealthCare Technologies Inc.
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,1996810.0,2024,US,GE Vernova Inc.
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2003-03-25,849399.0,1982,US,Gen Digital Inc.
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735.0,1959,US,Generac Holdings Inc.
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533.0,1899,US,General Dynamics Corporation
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704.0,1856,US,"General Mills, Inc."
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858.0,1908,US,General Motors Company
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1973-12-31,40987.0,1925,US,Genuine Parts Company
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095.0,1987,US,"Gilead Sciences, Inc."
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,1123360.0,2000,US,Global Payments Inc.
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335.0,1900,US,Globe Life Inc.
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",2024-06-24,1609711.0,1997,US,GoDaddy Inc.
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,886982.0,1869,US,"The Goldman Sachs Group, Inc."
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012.0,1919,US,Halliburton Company
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766.0,1810,US,"The Hartford Insurance Group, Inc."
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080.0,1923,US,"Hasbro, Inc."
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730.0,1968,US,"HCA Healthcare, Inc."
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2008-03-31,765880.0,1985,US,"Healthpeak Properties, Inc."
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228.0,1932,US,"Henry Schein, Inc."
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111.0,1894,US,The Hershey Company
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447.0,1919,US,Hess Corporation
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590.0,2015,US,Hewlett Packard Enterprise Company
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689.0,1919,US,Hilton Worldwide Holdings Inc.
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737.0,1985,US,"Hologic, Inc."
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950.0,1978,US,"The Home Depot, Inc."
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,773840.0,1906,US,Honeywell International Inc.
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465.0,1891,US,Hormel Foods Corporation
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750.0,1993,US,"Host Hotels & Resorts, Inc."
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,4281.0,1888,US,Howmet Aerospace Inc.
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217.0,1939 (2015),US,HP Inc.
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,48898.0,1888,US,Hubbell Incorporated
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961,US,Humana Inc.
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196.0,1866,US,Huntington Bancshares Incorporated
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585.0,2011,US,"Huntington Ingalls Industries, Inc."
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143.0,1911,US,International Business Machines Corporation
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988,US,IDEX Corporation
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716.0,1983,US,"IDEXX Laboratories, Inc."
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,49826.0,1912,US,Illinois Tool Works Inc.
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169.0,1991,US,Incyte Corporation
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150.0,1859,US,Ingersoll Rand Inc.
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",2023-03-15,1145197.0,2000,US,Insulet Corporation
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863.0,1968,US,Intel Corporation
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949.0,2000,US,"Intercontinental Exchange, Inc."
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253.0,1958 (1889),US,International Flavors & Fragrances Inc.
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898,US,International Paper Company
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992-10-01,51644.0,1961 (1930),US,"The Interpublic Group of Companies, Inc."
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878.0,1983,US,Intuit Inc.
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267.0,1995,US,"Intuitive Surgical, Inc."
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208.0,1935,US,Invesco Ltd.
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229.0,2012,US,Invitation Homes Inc.
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242.0,1982,US,IQVIA Holdings Inc.
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569.0,1951,US,Iron Mountain Incorporated
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535.0,1961,US,"J.B. Hunt Transport Services, Inc."
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,898293.0,1966,US,Jabil Inc.
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,779152.0,1976,US,"Jack Henry & Associates, Inc."
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988.0,1947,US,Jacobs Solutions Inc.
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406.0,1886,US,Johnson & Johnson
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444.0,1885,US,Johnson Controls International plc
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617.0,2000 (1799 / 1871),US,JPMorgan Chase & Co.
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604.0,1996,US,"Juniper Networks, Inc."
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,55067.0,1906,US,Kellanova
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048.0,2022 (Johnson & Johnson spinoff),US,Kenvue Inc.
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135.0,1981,US,Keurig Dr Pepper Inc.
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576.0,1825,US,KeyCorp
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046.0,2014 (1939),US,"Keysight Technologies, Inc."
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785.0,1872,US,Kimberly-Clark Corporation
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101.0,1958,US,Kimco Realty Corporation
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307.0,1997,US,"Kinder Morgan, Inc."
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",2024-06-24,1404912.0,1976,US,KKR & Co. Inc.
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201.0,1975/1977 (1997),US,KLA Corporation
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459.0,2015 (1869),US,The Kraft Heinz Company
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873.0,1883,US,The Kroger Co.
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058.0,"2019 (L3 1997, Harris 1895)",US,"L3Harris Technologies, Inc."
LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148.0,1978,US,Labcorp Holdings Inc.
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549.0,1980,US,Lam Research Corporation
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273.0,2016 (1950),US,"Lamb Weston Holdings, Inc."
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514.0,1988,US,Las Vegas Sands Corp.
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920.0,1969,US,"Leidos Holdings, Inc."
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760.0,1954,US,Lennar Corporation
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",2024-12-23,1069202.0,1895,US,Lennox International Inc.
